step,context0,context1,context2
0,0.81923187,0.71035117,0.43326834
1,0.3656123,0.028426629,0.8702098
2,0.6697953,0.4017558,0.95437586
3,0.16729455,0.79605407,0.8903169
4,0.9404723,0.9258279,0.4665517
5,0.941153,0.8686439,0.38000694
6,0.87711394,0.22133352,0.3953783
7,0.6921566,0.26754743,0.56766546
8,0.28642863,0.7072881,0.21077421
9,0.6061687,0.9772504,0.03727493
10,0.38968995,0.63888645,0.55460954
11,0.9091455,0.77762175,0.70210004
12,0.6233273,0.8185321,0.8031006
13,0.9716123,0.60409045,0.4210679
14,0.26190934,0.13474646,0.3053714
15,0.8896172,0.81908524,0.55300415
16,0.48474497,0.89728826,0.17481574
17,0.08416168,0.10726025,0.92729884
18,0.17323346,0.9185632,0.12517668
19,0.36056015,0.8610632,0.17808884
20,0.30331644,0.5389746,0.74173135
21,0.32916558,0.3619929,0.9157988
22,0.6369226,0.64427364,0.7890771
23,0.194372,0.39990112,0.72007257
24,0.677536,0.011595681,0.42441013
25,0.9794019,0.36641672,0.9149026
26,0.8220108,0.25256073,0.59857297
27,0.4080625,0.66037595,0.0401146
28,0.56249064,0.08226375,0.00023127193
29,0.46182427,0.90627307,0.5447265
30,0.17785428,0.5118879,0.28372622
31,0.94311106,0.44678265,0.208677
32,0.7436503,0.26584673,0.8585003
33,0.83966875,0.2908918,0.058854286
34,0.64404124,0.4415862,0.07748168
35,0.742176,0.77335733,0.7079494
36,0.18164745,0.55272835,0.88967055
37,0.8235299,0.7900653,0.6600156
38,0.74655926,0.26708996,0.66678905
39,0.97505474,0.058723446,0.6843046
40,0.8274269,0.37479913,0.6849857
41,0.4232619,0.8447678,0.9619556
42,0.6593376,0.4954912,0.65717953
43,0.15158749,0.68006045,0.3997342
44,0.56140995,0.81122833,0.43754706
45,0.6948372,0.57949805,0.33860466
46,0.18654774,0.09720336,0.33869442
47,0.03908981,0.6692226,0.098608755
48,0.0055349735,0.3327489,0.47538477
49,0.5047947,0.9559745,0.8647321
